Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка
Event-менеджер,от 100000 руб.,"['креативность', 'организаторские способности', 'подбор площадок', 'поиск и привлечение клиентов', 'развитие клиентской базы', 'планирование проекта']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КОЛОБАШКИН АЛЕКСАНДР ЕВГЕНЬЕВИЧ,"['Таганская,', 'Таганская']","Таганская, Таганская,г Москва, ул Гончарная, д 35/5 стр 2",Москва,Работа в маркетинге,,опыт работы от 3 лет,образование любое,https://www.rabota.ru/vacancy/52325450/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Тренер по баскетболу,30000— 300000 руб.,"['ответственность', 'пунктуальность', 'активность', 'стрессоустойчивость', 'умение работать в команде', 'любовь к детям', 'выносливость']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КАПУСТИН НИКИТА ОЛЕГОВИЧ,[],г Москва,Москва,Работа в сфере красоты,Тренер,опыт работы не имеет значения,образование неполное высшее,https://www.rabota.ru/vacancy/50608005/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Администратор интернет-магазина,60000— 69000 руб.,"['обеспечение жизнедеятельности офиса', 'работа с заказами']",[],"ООО ""СИЛА ПРИРОДЫ""","['Ленинский проспект,', 'Площадь Гагарина']","Ленинский проспект, Площадь Гагарина,г Москва, ул Вавилова, д 9А стр 6, офис 10",Москва,Менеджер магазина,Менеджер интернет-магазина,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/50553721/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Продавец продуктов питания,85000— 120000 руб.,"['ответственность', 'коммуникабельность', 'умение работать с людьми', 'умение работать в команде', 'обучаемость', 'доброжелательность', 'выкладка товара', 'работа в торговом зале', 'продажи', 'прием товара', 'консультирование покупателей', 'демонстрация товара']",[],ИП Швецова Юлия Константиновна,"['Бульвар Дмитрия Донского,', 'Улица Старокачаловская']","Бульвар Дмитрия Донского, Улица Старокачаловская,г Москва, ул Поляны, д 8",Москва,Работа в торговле,Продавец,опыт работы Без опыта,образование среднее,https://www.rabota.ru/vacancy/50464795/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Менеджер отдела продаж,от 180000 руб.,"['проведение презентаций', 'выполнение плана продаж', 'подготовка коммерческих предложений', 'сопровождение сделки', 'продажи продукта / услуги']",[],ООО СП Октябрьская,"['Октябрьская,', 'Добрынинская,', 'Октябрьская']","Октябрьская, Добрынинская, Октябрьская,г Москва, Калужская пл, д 1 к 2",Москва,Работа в торговле,Менеджер по продажам,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/50455575/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель на личном автомобиле (рекламное производство),140000— 150000 руб.,[],[],"ООО ""ТЕХНОЛОГИИ ВИЗУАЛИЗАЦИИ УСПЕХА""","['Павелецкая,', 'Автозаводская,', 'Павелецкая,', 'Серпуховская,', 'Тульская,', 'Автозаводская']","Павелецкая, Автозаводская, Павелецкая, Серпуховская, Тульская, Автозаводская,г Москва, Павелецкая наб, д 2 стр 2",Москва,Работа на транспорте,Водитель,опыт работы Без опыта,образование любое,https://www.rabota.ru/vacancy/50271590/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Директор детского сада,100000— 150000 руб.,"['ответственность', 'коммуникабельность', 'умение работать в команде', 'организация мероприятий', 'управление персоналом']",['Пенсионерам'],Индивидуальный предприниматель СЛОБОДСКАЯ ЕВГЕНИЯ СЕРГЕЕВНА,"['Проспект Вернадского,', 'Новаторская']","Проспект Вернадского, Новаторская,г Москва, ул Марии Ульяновой",Москва,,,опыт работы от 3 лет,образование высшее,https://www.rabota.ru/vacancy/50067900/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Производитель работ (прораб),150000— 250000 руб.,"['СНиПы', 'строительно-монтажные работы', 'руководство бригадой', 'учет выполненных работ', 'составление отчетных форм КС-2, КС-3, КС-6', 'ведение объекта', 'составление актов на скрытые работы']",['Пенсионерам'],"ООО ""ГК АСТАФЬЕВ""",['Сетунь'],"Сетунь,г Москва, ул Горбунова, д 2 стр 3",Москва,Работа в строительстве,Прораб,опыт работы от 5 лет,образование высшее,https://www.rabota.ru/vacancy/49968912/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Швея,40000— 60000 руб.,"['ответственность', 'аккуратность', 'раскрой материалов', 'знание швейного оборудования', 'Пошив']","['Пенсионерам', 'Студентам']","ООО ""МЕДТЕКСТ""","['Печатники,', 'Печатники']","Печатники, Печатники,г Москва",Москва,Работа в сфере бытовых услуг,,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/49572447/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Бухгалтер,60000— 80000 руб.,"['составление авансовых отчетов', 'расчет заработной платы', 'Банк-клиент', 'составление актов сверок', 'ведение первичной документации', 'взаиморасчеты с контрагентами', 'ведение бухгалтерского учета']",[],"ООО ""МОНТИ""","['Перово,', 'Кусково']","Перово, Кусково,г Москва, ул Перовская, д 61/2 стр 1",Москва,Работа в бухгалтерии,,опыт работы от 1 года,образование среднее профессиональное,https://www.rabota.ru/vacancy/49413757/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
