Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка
Медицинский регистратор,от 27093 руб.,"['пунктуальность', 'стрессоустойчивость', 'доброжелательность', 'работа на кассе', 'работа с оргтехникой', 'общение с клиентами', 'кассовая дисциплина', 'запись на прием', 'работа с документами', 'обеспечение жизнедеятельности офиса', 'работа с клиентами', 'общение по телефону', 'индивидуальное консультирование', 'MS Excel']",['Студентам'],"ООО ""ЦМИ""",['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург, ул Малышева, д 3",Екатеренбург,Регистратор,,опыт работы не имеет значения,образование среднее профессиональное,https://eburg.rabota.ru/vacancy/54256076/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Графический дизайнер,100000— 150000 руб.,"['Adobe Illustrator', 'Adobe Photoshop', 'CorelDraw', 'дизайн', 'предпечатная подготовка', 'верстка', 'разработка фирменного стиля', 'графический дизайн', 'дизайн упаковки', 'дизайн полиграфической продукции', 'ретушь', 'web-дизайн', 'TILDA', 'figma', 'Нейросети']",['Быстрый отклик'],"ООО ""ЦИФРОВАЯ КОМПАНИЯ""",['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург",Екатеренбург,Работа в сфере дизайна,Художник,опыт работы от 5 лет,образование среднее,https://eburg.rabota.ru/vacancy/54204264/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Сортировщик переборщик макулатуры и пленки,55000— 62000 руб.,['ответственность'],"['Пенсионерам', 'Студентам']","ООО ""ЭКОТРАНС""",[],"Свердловская обл, Белоярский р-н, тер Промышленный район Прохладный, Первый пр-д, уч 6",Екатеренбург,Сборщик,Комплектовщик заказов,опыт работы не имеет значения,образование любое,https://eburg.rabota.ru/vacancy/50452757/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Менеджер по закупкам,по договоренности,"['поиск и привлечение клиентов', 'работа с поставщиками', 'ведение клиентской базы', 'закупки', 'поддержание клиентской базы']",[],ООО Агрохолдинг Союзагропром,['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург",Екатеренбург,Работа в логистике,,опыт работы от 1 года,образование любое,https://eburg.rabota.ru/vacancy/54223070/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Менеджер по продажам,от 80000 руб.,[],[],"ООО ""ИЗИ""",[],"г Екатеринбург, ул Фронтовых бригад, д 18 к 3",Екатеренбург,Работа в торговле,,опыт работы Без опыта,образование любое,https://eburg.rabota.ru/vacancy/52820654/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Администратор/оператор пункта выдачи,30000— 40000 руб.,[],"['Пенсионерам', 'Студентам']",ИП Патрушев Антон Сергеевич,[],"г Екатеринбург, ул Надеждинская, д 12",Екатеренбург,Администратор,Администратор пункта выдачи заказов,опыт работы Без опыта,образование любое,https://eburg.rabota.ru/vacancy/51690584/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Флорист,45000— 70000 руб.,"['ответственность', 'пунктуальность', 'креативность', 'стрессоустойчивость', 'обучаемость', 'кассовая дисциплина', 'прием товара', 'составление букетов', 'составление композиций']",[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ РЫКОВА МАРИЯ АЛЕКСАНДРОВНА,['Уральская'],"Уральская,г Екатеринбург, ул Челюскинцев, д 110",Екатеренбург,,,опыт работы не имеет значения,образование любое,https://eburg.rabota.ru/vacancy/50353312/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Санитар/санитарка,35000— 45000 руб.,[],[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЛЕНСКИЙ ДЕНИС ВЛАДИМИРОВИЧ,[],"г Екатеринбург, ул Латвийская, д 55",Екатеренбург,,,опыт работы от 1 года,образование любое,https://eburg.rabota.ru/vacancy/50348702/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Администратор салона красоты,15000— 60000 руб.,"['пунктуальность', 'стрессоустойчивость', 'общение с клиентами', 'продажа услуг', 'ведение клиентской базы', 'встреча клиентов', 'консультирование посетителей', 'встреча гостей', 'исходящие звонки']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ФРАНЦЕВА ИРИНА СЕРГЕЕВНА,['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург, ул Токарей, д 40",Екатеренбург,Администратор,Администратор на ресепшн,опыт работы от 1 года,образование любое,https://eburg.rabota.ru/vacancy/49930804/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Отделочник (комплексная бригада),от 70000 руб.,['отделочные работы'],[],"ООО ""ПРЕМИУМ ГРУПП""",[],г Екатеринбург,Екатеренбург,Мастер по ремонту,Отделочник,опыт работы от 1 года,образование любое,https://eburg.rabota.ru/vacancy/49882945/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
