,Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
2000,Конструктор / проектировщик,100000— 150000 руб.,нет,Без тега,"ООО ""СБР ТИТАН""",['Площадь Революции'],"Площадь Революции,г Москва",Москва,Работа на производстве,Проектировщик,от 1 года,любое,https://www.rabota.ru/vacancy/51928331/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,150000
2001,Шиномонтажник,80000— 150000 руб.,нет,Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ДЁ ВЛАДИМИР КОНСТАНТИНОВИЧ,['Щелковская'],"Щелковская,г Москва, ул Бирюсинка, д 1/18 стр 30",Москва,Слесарь,Механик-наладчик,от 1 года,любое,https://www.rabota.ru/vacancy/51445669/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,150000
2002,Менеджер по продажам,от 40000 руб.,нет,Без тега,"ООО ""ОСНОВА""",['Матвеевская'],"Матвеевская,г Москва, ул Староволынская, д 12 к 5",Москва,Работа в торговле,Менеджер по продажам,без опыта,любое,https://www.rabota.ru/vacancy/51445542/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,40000,
2003,Кассир,60000— 70000 руб.,"['пунктуальность', 'доброжелательность', 'обслуживание клиентов', 'работа с пластиковыми картами', 'работа с денежной наличностью']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ВОДЯНСКАЯ АИНА ВЛАДИМИРОВНА,"['Римская,', 'Площадь Ильича']","Римская, Площадь Ильича,г Москва, ул Рогожский Вал, д 5",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/51303013/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,70000
2004,Бариста,по договоренности,"['общение с клиентами', 'обслуживание гостей', 'приготовление напитков', 'консультирование гостей', 'приготовление кофе', 'работа с кассой']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КАРАЕВА МАРИНА НИКОЛАЕВНА,['Щелковская'],"Щелковская,г Москва, ул Байкальская, д 39",Москва,Работа в ресторанах,,до года,любое,https://www.rabota.ru/vacancy/50491111/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
2005,Стоматолог-хирург / Имплантолог (Пародонтолог),по договоренности,"['хирургическое лечение', 'костная пластика', 'имплантация', 'Удаление зубов любой сложности', 'дентальная имплантация', 'гингивопластика']",Без тега,"ООО ""СТОМАТОЛОГИЯ""","['Кузьминки,', 'Текстильщики,', 'Стахановская']","Кузьминки, Текстильщики, Стахановская ,г Москва, ул Саратовская, д 24",Москва,Работа в сфере медицины,Врач,от 5 лет,высшее,https://www.rabota.ru/vacancy/50440506/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
2006,Оптик-консультант,от 80000 руб.,"['грамотная речь', 'уверенный пользователь ПК', 'обслуживание клиентов']",Без тега,ИП Беликова Ольга Сергеевна,"['Римская,', 'Площадь Ильича,', 'Серп и Молот']","Римская, Площадь Ильича, Серп и Молот,г Москва, метро Площадь Ильича",Москва,Работа в сфере фармакологии,Оптик,от 3 лет,любое,https://www.rabota.ru/vacancy/50435519/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,
2007,Бармен-бариста,60000— 100000 руб.,"['грамотная речь', 'обучаемость', 'доброжелательность', 'стандарты сервиса', 'кассовая дисциплина', 'обслуживание гостей', 'приготовление коктейлей', 'приготовление напитков', 'консультирование гостей', 'уборка рабочей зоны', 'приготовление кофе']",['Студентам'],ДАЦИС ДИАНА ИГОРЕВНА,['Дубровка'],"Дубровка,г Москва, ул 7-я Кожуховская, д 9",Москва,Работа в ресторанах,Бариста,без опыта,любое,https://www.rabota.ru/vacancy/50416804/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,100000
2008,Менеджер маркетплейса OZON (удаленно),20000— 30000 руб.,нет,Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ДОРОШ ВИКТОР ВЛАДИМИРОВИЧ,['Площадь Революции'],"Площадь Революции,г Москва",Москва,,,до года,любое,https://www.rabota.ru/vacancy/50375427/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,20000,30000
2009,Рабочий,70000— 80000 руб.,"['внимательность', 'упаковка', 'работа ручным инструментом', 'укладка продукции', 'Разнорабочий']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БАРАБАНОВ ИГОРЬ ВАСИЛЬЕВИЧ,['Волгоградский проспект'],"Волгоградский проспект,г Москва, Михайловский проезд, д 1 стр 10",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/50337613/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,80000
2010,Менеджер по продажам строительных материалов,120000— 500000 руб.,нет,Без тега,"ООО ГК ""АВИСТРОЙ""","['Бибирево,', 'Отрадное']","Бибирево, Отрадное,г Москва, Высоковольтный проезд, д 1 стр 20",Москва,Работа в торговле,Менеджер по продажам,от 1 года,среднее профессиональное,https://www.rabota.ru/vacancy/50322245/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,120000,500000
2011,Автожестянщик,по договоренности,нет,Без тега,"ООО ""УСБ""","['Озерная,', 'Очаково']","Озерная, Очаково,г Москва, ул Наташи Ковшовой, д 20",Москва,Жестянщик,,до года,любое,https://www.rabota.ru/vacancy/50274795/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
2012,Мастер маникюра и педикюра,60000— 120000 руб.,"['стерилизация инструментов', 'маникюр', 'наращивание ногтей', 'классический маникюр', 'классический педикюр', 'аппаратный маникюр', 'дизайн ногтей', 'комбинированный маникюр', 'комбинированный педикюр', 'укрепление ногтей', 'покрытие Shellac', 'мужской маникюр', 'Выравнивание ногтевой пластины', 'ремонт ногтей']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ МАРТИРОСЯН ИДА ГАГИКОВНА,"['Павелецкая,', 'Пролетарская']","Павелецкая, Пролетарская,г Москва, ул Дербеневская, д 11кв",Москва,Мастер ногтевого сервиса,Мастер маникюра-педикюра,от 1 года,любое,https://www.rabota.ru/vacancy/50251313/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,120000
2013,Администратор в ветеринарную клинику (метро Коломенская),75000 руб.,"['ответственность', 'обучаемость']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ МИТРОФАНОВА ТАТЬЯНА АЛЕКСАНДРОВНА,['Кленовый бульвар'],"Кленовый бульвар,г Москва, ул Судостроительная, д 10 к 2",Москва,Администратор,Администратор на ресепшн,от 1 года,любое,https://www.rabota.ru/vacancy/50228800/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,75000,
2014,Печатник шелкограф,70000— 110000 руб.,"['шелкография', 'печать на ручном станке', 'работа с пантонами', 'печать на полуавтомате', 'знание технологических процессов']","['Пенсионерам', 'Студентам']",Компромисс-пресс,['Зорге'],"Зорге,г Москва, ул Зорге, д 15 стр 1",Москва,Работа на производстве,Мастер производства,от 1 года,любое,https://www.rabota.ru/vacancy/50214715/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,110000
2015,Продавец-кассир,75000 руб.,"['обучаемость', 'работа на кассе', 'выкладка товара', 'обслуживание покупателей', 'консультирование покупателей', 'умение продавать', 'кассовая документация']","['Пенсионерам', 'Студентам']",ИП Богдарёв Александр Юрьевич,['Улица Сергея Эйзенштейна'],"Улица Сергея Эйзенштейна,г Москва, ул Малахитовая, д 3",Москва,Работа в торговле,Продавец,без опыта,любое,https://www.rabota.ru/vacancy/50214474/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,75000,
2016,Косметолог-эстетист,80000— 150000 руб.,"['пилинг', 'чистка лица', 'массаж лица', 'коррекция бровей', 'аппаратные процедуры', 'наращивание ресниц', 'косметологические процедуры', 'окрашивание бровей и ресниц', 'маски', 'микротоковая терапия', 'Пилинги', 'лазерная эпиляция', 'Архитектура бровей', 'Ламинирование бровей']",Без тега,"ООО ""Изумруд-Мед""","['Медведково,', 'Бабушкинская']","Медведково, Бабушкинская,г Москва, ул Изумрудная, д 52",Москва,Работа в сфере красоты,Эстетист,от 1 года,среднее профессиональное,https://www.rabota.ru/vacancy/50213768/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,150000
2017,Менеджер по продажам,от 100000 руб.,нет,Без тега,"ООО ""КЧ ГРУПП""",['Электрозаводская'],"Электрозаводская,г Москва, пл Журавлёва, д 2 стр 2",Москва,Работа в торговле,Менеджер по продажам,от 1 года,высшее,https://www.rabota.ru/vacancy/50202644/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,
2018,Менеджер по продажам,от 100000 руб.,"['техника продаж', 'телефонные переговоры', 'активные продажи', 'CRM-система', 'сопровождение сделки']",Без тега,Окна Себе,['Шоссе Энтузиастов'],"Шоссе Энтузиастов,г Москва, ул Буракова, д 27 к 3",Москва,Работа в торговле,Менеджер по продажам,от 1 года,любое,https://www.rabota.ru/vacancy/50175435/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,
2019,Мастер коррекции фигуры / массажист,75000— 160000 руб.,нет,Без тега,Индивидуальный предприниматель КАСИМОВА АЛЕКСАНДРА ВЛАДИМИРОВНА,,"г Москва, ул Арбат, д 20",Москва,Работа в сфере красоты,Массажист,от 1 года,любое,https://www.rabota.ru/vacancy/50173456/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,75000,160000
2020,Менеджер по продажам строительных материалов в сегменте B2B,118000— 180000 руб.,нет,Без тега,"ООО ""СТРОЙПОЛИМЕР""",,"г Москва, ул Ленинская Слобода, д 19",Москва,Работа в торговле,Менеджер по продажам,от 1 года,любое,https://www.rabota.ru/vacancy/50128028/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,118000,180000
2021,Помощник менеджера/ менеджер по продажам,60000— 150000 руб.,"['обучаемость', 'MS Office  Excel', 'MS Office Word', 'прием заказов', 'ведение клиентской базы', 'продажи', 'подготовка коммерческих предложений', 'ведение заказов', 'прямые продажи', 'работа с клиентами', 'сопровождение сделки', 'консультирование']",Без тега,"ООО ""ГТК""",['Красный Строитель'],"Красный Строитель,г Москва, ул Никопольская, д 4 стр 1",Москва,Работа в торговле,Менеджер по продажам,от 1 года,любое,https://www.rabota.ru/vacancy/50099718/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,150000
2022,Медицинская сестра,80000— 90000 руб.,нет,Без тега,"ООО ""КЛИНИКА 22""","['Шелепиха,', 'Шелепиха,', 'Шелепиха']","Шелепиха, Шелепиха, Шелепиха,г Москва, Шмитовский проезд, д 39 к 2",Москва,Работа в сфере медицины,,от 3 лет,среднее,https://www.rabota.ru/vacancy/50061800/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,90000
2023,Администратор / менеджер салона красоты (Москва),60000— 90000 руб.,"['ответственность', 'пунктуальность', 'умение работать в режиме многозадачности', 'коммуникабельность', 'стрессоустойчивость', 'грамотная речь', 'умение работать в команде', 'обучаемость', 'доброжелательность', 'уверенный пользователь ПК', 'консультирование клиентов', 'работа на кассе', 'общение с клиентами', 'прием входящих звонков', 'продажа услуг', 'ведение клиентской базы', 'Компьютерная грамотность']",Без тега,"ООО ""ПРЕКРАСНАЯ ЛЕДИ""",['Кропоткинская'],"Кропоткинская,г Москва, Гоголевский б-р, д 23",Москва,Менеджер магазина,Менеджер салона,от 1 года,любое,https://www.rabota.ru/vacancy/50060089/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,90000
2024,Курьер,120000— 180000 руб.,"['ответственность', 'пунктуальность', 'коммуникабельность', 'обучаемость', 'вежливость', 'выносливость', 'хорошее знание Москвы', 'знание Москвы и Московской области', 'доставка документов', 'доставка товаров', 'доставка заказов', 'выполнение поручений', 'знание города', 'общение по телефону', 'составление маршрутов', 'ответственный']","['Пенсионерам', 'Студентам', 'Людям с инвалидностью']",ИП Недопекин Василий Иванович,['Лианозово'],"Лианозово,г Москва, ул Клязьминская, д 32",Москва,Работа в сфере доставки,,без опыта,любое,https://www.rabota.ru/vacancy/50057864/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,120000,180000
2025,Бариста-кассир,65000— 88000 руб.,"['вежливость', 'кассовые операции', 'выкладка товара', 'приготовление напитков', 'приготовление кофе']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЧУДАНОВ ВЛАДИМИР СЕРГЕЕВИЧ,['Ховрино'],"Ховрино,г Москва, ул Дыбенко, д 7/1",Москва,Работа в ресторанах,,без опыта,любое,https://www.rabota.ru/vacancy/49893922/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,65000,88000
2026,Электромонтажник,80000— 120000 руб.,"['чтение электросхем', 'электромонтажные работы', 'электрооборудование', 'обслуживание электрооборудования', 'прокладка кабелей', 'монтаж освещения', 'монтаж электрощитов']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ АХМЕРОВ РУСТЕМ ШАРИФОВИЧ,,г Москва,Москва,Монтажник,,без опыта,любое,https://www.rabota.ru/vacancy/49859845/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,120000
2027,Менеджер по продажам,90000— 150000 руб.,"['грамотная речь', 'обучаемость', 'ведение телефонных переговоров', 'техника продаж', 'выполнение плана продаж', 'CRM-система', 'умение продавать', 'работа с возражениями', 'Навыки продаж', 'Работа в СРМ']",Без тега,"ООО ""АВАНТАЖ+""","['Курская,', 'Курская']","Курская, Курская,г Москва, ул Казакова, д 6 стр 1",Москва,Работа в торговле,Менеджер по продажам,от 1 года,любое,https://www.rabota.ru/vacancy/49811414/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,150000
2028,"Менеджер по снабжению, закупкам (тендерный отдел)",от 60000 руб.,"['коммуникабельность', 'стрессоустойчивость', 'грамотная речь', 'развитие клиентской базы', 'общение с клиентами', 'работа с поставщиками', 'телефонные переговоры', 'выполнение плана продаж', 'подготовка коммерческих предложений', 'сопровождение сделки']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СУЛЯЕВ ПАВЕЛ ИГОРЕВИЧ,"['Выхино,', 'Рязанский проспект,', 'Окская ,', 'Вешняки']","Выхино, Рязанский проспект, Окская , Вешняки,г Москва, Маёвки Первой аллея, д 15 стр 2",Москва,Работа в логистике,Менеджер по закупкам,от 1 года,любое,https://www.rabota.ru/vacancy/49736780/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,
2029,Администратор салона красоты,от 22500 руб.,"['грамотная речь', 'обучаемость', 'консультирование клиентов', 'общение с клиентами', 'прием входящих звонков', 'ведение клиентской базы', 'организация работы салона']",Без тега,"ООО ""СКАРЛЕТТ""",['Медведково'],"Медведково,г Москва, ул Тайнинская, д 19",Москва,Администратор,Администратор на ресепшн,без опыта,любое,https://www.rabota.ru/vacancy/49661286/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,22500,
2030,Официант,от 80000 руб.,нет,Без тега,Индийская точка,,г Москва,Москва,Работа в ресторанах,,без опыта,любое,https://www.rabota.ru/vacancy/49585894/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,
2031,Продавец-кассир,50000— 80000 руб.,нет,Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ АСЛАНОВ РУСЛАН,['Проспект Вернадского'],"Проспект Вернадского,г Москва, пр-кт Вернадского, д 42 к 2",Москва,Работа в торговле,Продавец,без опыта,любое,https://www.rabota.ru/vacancy/49573910/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,80000
2032,Бариста,от 45000 руб.,нет,['Студентам'],Индивидуальный предприниматель СТОГОВА НАТАЛЬЯ ДМИТРИЕВНА,['Перерва'],"Перерва,г Москва, ул Люблинская, д 76 к 2",Москва,Работа в ресторанах,,без опыта,любое,https://www.rabota.ru/vacancy/49493401/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,45000,
2033,Автомеханик-автослесарь,80000— 150000 руб.,"['ремонт автомобилей', 'техническое обслуживание автомобилей', 'замена сцепления', 'замена ремня ГРМ', 'ремонт ДВС', 'ремонт подвески']",['Людям с инвалидностью'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КОСТРИГИНА СВЕТЛАНА ВАЛЕНТИНОВНА,['Остафьево'],"Остафьево,г Москва, поселение Рязановское, кв-л 91, д 8 стр 1",Москва,Слесарь,Механик-наладчик,от 3 лет,среднее,https://www.rabota.ru/vacancy/48762535/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,150000
2034,Продавец-кассир в кафе,77000— 105000 руб.,"['ответственность', 'стрессоустойчивость', 'грамотная речь', 'доброжелательность', 'инкассация', 'работа на кассе', 'проведение инвентаризаций', 'обслуживание покупателей', 'работа с денежной наличностью', 'работа с клиентами', 'умение продавать']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ПАНФИЛОВ АЛЕКСЕЙ МИХАЙЛОВИЧ,['Печатники'],"Печатники,г Москва, ул Гурьянова, д 2А",Москва,Работа в торговле,Продавец,до года,любое,https://www.rabota.ru/vacancy/48590325/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,77000,105000
2035,Специалист по парамедицинскому педикюру (подолог),60000— 120000 руб.,"['пунктуальность', 'грамотная речь', 'обучаемость', 'маникюр', 'классический педикюр', 'комбинированный педикюр']",Без тега,ЦПС Podospecific,"['Марьина Роща,', 'Марьина роща,', 'Марьина Роща']","Марьина Роща, Марьина роща, Марьина Роща,г Москва, ул 4-я Марьиной Рощи, д 3",Москва,Работа в сфере медицины,Врач подолог,без опыта,среднее профессиональное,https://www.rabota.ru/vacancy/48481363/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,120000
2036,Администратор в офис,30000— 37000 руб.,"['внимательность', 'грамотная речь', 'доброжелательность', 'телефонные переговоры', 'встреча гостей', 'исходящие звонки', 'консультирование', 'организация приема посетителей', 'общительность']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БОЛДЫРЕВ МИХАИЛ АНАТОЛЬЕВИЧ,['Рассказовка'],"Рассказовка,г Москва, поселение Внуковское, ул Лётчика Грицевца, д 6",Москва,Администратор,Администратор пункта выдачи заказов,от 1 года,любое,https://www.rabota.ru/vacancy/48404241/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,30000,37000
2037,Мастер маникюра-педикюра,80000 руб.,"['ответственность', 'пунктуальность', 'аккуратность', 'общение с клиентами', 'классический маникюр', 'сертификат, подтверждающий квалификацию', 'классический педикюр', 'аппаратный маникюр', 'европейский маникюр', 'дизайн ногтей', 'комбинированный маникюр', 'комбинированный педикюр', 'обрезной маникюр', 'укрепление ногтей', 'покрытие Shellac', 'мужской маникюр', 'Аппаратный педикюр', 'Выравнивание ногтевой пластины', 'педикюр аппаратный']",Без тега,"ООО ""ЗДОРОВЬЕ ПЛЮС""","['Тверская,', 'Пушкинская']","Тверская, Пушкинская,г Москва, ул Большая Бронная, д 5",Москва,Мастер ногтевого сервиса,,от 5 лет,любое,https://www.rabota.ru/vacancy/47943688/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,
2038,Инженер электролаборатории,от 60000 руб.,нет,['Быстрый отклик'],"ООО ""КИК""",['Андроновка'],"Андроновка,ул 2-я Энтузиастов, д 5 к 40",Москва,Работа на производстве,Инженер-электрик,без опыта,любое,https://www.rabota.ru/vacancy/47321820/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,
2039,Медицинская сестра/медбрат процедурная,50000— 60000 руб.,"['стрессоустойчивость', 'грамотная речь', 'медицинская книжка', 'действующий сертификат по специальности ""Сестринское дело""', 'ведение медицинской документации', 'генеральная уборка кабинета', 'забор крови', 'санэпидрежим', 'работа в процедурной', 'все виды инъекций', 'оказание неотложной помощи', 'проведение инфузий', 'взятие венозной крови', 'взятие мазков', 'постановка капельниц', 'измерение давления', 'снятие ЭКГ']",Без тега,"ООО ""ДНКОМ ПРЕВЕНТ ЭЙДЖ""",['Планерная'],"Планерная,г Москва, ул Соловьиная Роща, д 11",Москва,Работа в сфере медицины,Медицинская сестра,от 1 года,среднее профессиональное,https://www.rabota.ru/vacancy/47002604/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,60000
