,Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
8681,Менеджер по тендерам,от 50000 руб.,"['MS Office', 'участие в тендерах', 'ведение телефонных переговоров', 'работа с поставщиками', 'продажи', '1С:Предприятие 8', 'работа с первичной документацией', 'подготовка тендерной документации']",Без тега,"ООО ""ПМК""",['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург, ул 8 Марта, д 51, офис 311",Екатеренбург,,,от 2 лет,высшее,https://eburg.rabota.ru/vacancy/46922679/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,50000,
8682,Уборщик/ца,от 45000 руб.,"['аккуратность', 'доброжелательность', 'порядочность', 'уборка помещений', 'сухая и влажная уборка', 'вынос мусора', 'поддержание чистоты и порядка']","['Пенсионерам', 'Студентам']",Индивидуальный предприниматель Лысов Михаил Александрович,['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург, поселок Совхозный, ул Предельная, д 41",Екатеренбург,Работа в сфере бытовых услуг,Уборщица,без опыта,любое,https://eburg.rabota.ru/vacancy/46900517/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,45000,
8683,"Продавец-кассир (ТРЦ ""Парк Хаус"")",36000— 50000 руб.,"['работа на кассе', 'обслуживание покупателей', 'участие в проведение инвентаризаций', 'умение продавать', 'прием товар']","['Пенсионерам', 'Студентам']",АТЛАСЮК ДМИТРИЙ АЛЕКСАНДРОВИЧ,"['Машиностроителей,', 'Уральская']","Машиностроителей, Уральская,г Екатеринбург, ул Сулимова, д 50",Екатеренбург,Работа в торговле,Продавец,без опыта,любое,https://eburg.rabota.ru/vacancy/46858043/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,36000,50000
8684,Автомеханик-автослесарь,от 90000 руб.,нет,['Быстрый отклик'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ОЛЕНЬКОВ ДМИТРИЙ ВАСИЛЬЕВИЧ,,"г Екатеринбург, ул Библиотечная, д 62а",Екатеренбург,Слесарь,Механик-наладчик,от 2 лет,любое,https://eburg.rabota.ru/vacancy/46827142/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,90000,
8685,Инженер по ремонту оргтехники и заправке картриджей,35000— 65000 руб.,['ответственность'],"['Быстрый отклик', 'Пенсионерам', 'Студентам']","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНИТ-ПК""","['Динамо,', 'Площадь 1905 года']","Динамо, Площадь 1905 года,г Екатеринбург, ул Шевелева, д 5",Екатеренбург,Техник,Инженер по технике,без опыта,любое,https://eburg.rabota.ru/vacancy/46812601/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,35000,65000
8686,Швея по пошиву штор,30000— 75000 руб.,нет,"['Быстрый отклик', 'Пенсионерам', 'Студентам', 'Людям с инвалидностью']",Индивидуальный предприниматель ЛОГИНОВА СВЕТЛАНА ВЛАДИМИРОВНА,,"г Екатеринбург, ул Соболева, д 19",Екатеренбург,Работа в сфере бытовых услуг,Швея,от 1 года,среднее профессиональное,https://eburg.rabota.ru/vacancy/46774030/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,30000,75000
8687,Торговый представитель,50000— 150000 руб.,нет,Без тега,"ООО ""ФАРМАТИКА-УРАЛ""",,"620100, Свердловская обл, г Екатеринбург, Сибирский тракт, стр 8д",Екатеренбург,Работа в продажах,,от 1 года,любое,https://eburg.rabota.ru/vacancy/46765539/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,50000,150000
8688,Врач-стоматолог общей практики,от 50000 руб.,нет,['Быстрый отклик'],"ООО ""ЖЕМЧУЖНЫЙ МИР""","['Площадь 1905 года,', 'Геологическая']","Площадь 1905 года, Геологическая,ул Репина, д 99а",Екатеренбург,Работа в сфере медицины,Врач,от 1 года,среднее профессиональное,https://eburg.rabota.ru/vacancy/46765377/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,50000,
8689,Фрезеровщик,70000 руб.,"['изготовление деталей по чертежам', 'работа на вертикально-фрезерных станках', 'работа на горизонтально-фрезерных станках']",['Быстрый отклик'],АО Екатеринбургские лесные машины,"['Чкаловская,', 'Ботаническая']","Чкаловская, Ботаническая,г Екатеринбург, Елизаветинское шоссе, д 29",Екатеренбург,Оператор,Оператор станка,от 1 года,любое,https://eburg.rabota.ru/vacancy/46416183/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,70000,
8690,Мастер СМР,от 90000 руб.,['строительно-монтажные работы'],['Быстрый отклик'],"ООО ""1А-ТД""",['Ботаническая'],"Ботаническая,г Екатеринбург",Екатеренбург,Работа на производстве,Мастер производства,от 3 лет,среднее профессиональное,https://eburg.rabota.ru/vacancy/44590264/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,90000,
