id,Название вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Категория,Детальные категории,Город,Метро,Линия метро,Цвет линии метро,Адрес,Id компании,Индуcтрия,Кол-во персонала в компании,Кол-во размещенных вакансий,Название компании,Опыт,График работы,Образование,Широта,Долгота,ссылка
50742787,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Жулебинский, 15",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.695644,37.851582,https://www.superjob.ru/vakansii/pekar-50742787.html
50742917,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Осенний, 8А",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.756092,37.409271,https://www.superjob.ru/vakansii/pekar-50742917.html
50742933,Пекарь,67000,91300,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Старобитцевская, 11",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.574806,37.587856,https://www.superjob.ru/vakansii/pekar-50742933.html
50744210,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Молостовых, 1А",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.765347,37.833267,https://www.superjob.ru/vakansii/pekar-50744210.html
50746138,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Василия Ботылёва, 14А",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.787937,37.355652,https://www.superjob.ru/vakansii/pekar-50746138.html
50746402,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Декабристов, 20",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.861691,37.609821,https://www.superjob.ru/vakansii/pekar-50746402.html
51202410,"Пекарь (Москва, Ивана Сусанина, 2)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],,2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,,,https://www.superjob.ru/vakansii/pekar-51202410.html
51745259,"Пекарь (Москва, Зелёный, 1А)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],,2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,,,https://www.superjob.ru/vakansii/pekar-51745259.html
51745269,"Пекарь (Москва, Зелёный, 6)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],,2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,,,https://www.superjob.ru/vakansii/pekar-51745269.html
51755985,"Пекарь (Москва, Верхоянская, 10)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],,2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,,,https://www.superjob.ru/vakansii/pekar-51755985.html
51757329,"Пекарь (Москва, Ярославская, 10)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],,2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,,,https://www.superjob.ru/vakansii/pekar-51757329.html
51758721,"Пекарь (Москва, Первомайская, 110)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],,2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,,,https://www.superjob.ru/vakansii/pekar-51758721.html
