Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
Прораб по вентиляции и кондиционированию,от 150000 руб.,нет,Без тега,"ООО ""КЛИМАТИКА""",['Хорошево'],"Хорошево,г Москва, пр-кт Маршала Жукова, д 2",Москва,Работа в строительстве,Прораб,от 3 лет,любое,https://www.rabota.ru/vacancy/50195829/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,150000,
Продавец-консультант,55000— 75000 руб.,"['ответственность', 'пунктуальность', 'обучаемость', 'доброжелательность', 'работа на кассе', 'выкладка товара', 'продажи', 'обслуживание покупателей', 'прием товара', 'консультирование покупателей', 'умение продавать', 'общительность']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ АЛЕКСАНДРОВА НАТАЛИЯ АЛЕКСАНДРОВНА,"['Свиблово,', 'Ростокино,', 'Ботанический сад']","Свиблово, Ростокино, Ботанический сад,г Москва, проезд Серебрякова, д 14 стр 5",Москва,Работа в торговле,Продавец,от 1 года,любое,https://www.rabota.ru/vacancy/50195031/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,55000,75000
Бариста-кассир,60000— 85000 руб.,"['пунктуальность', 'исполнительность', 'аккуратность', 'внимательность', 'коммуникабельность', 'стрессоустойчивость', 'умение работать с людьми', 'умение работать в команде', 'обучаемость', 'доброжелательность', 'вежливость', 'прием заказов', 'стандарты сервиса', 'R-Keeper', 'обслуживание гостей', 'приготовление напитков', 'уборка рабочей зоны', 'приготовление кофе', 'работа за барной стойкой', 'касса', 'подача блюд и напитков согласно установленным правилам обслуживания', 'поддержание чистоты в зале']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КИОРОГЛО ПЕТР ДМИТРИЕВИЧ,"['Ольховая,', 'Коммунарка']","Ольховая, Коммунарка,г Москва, поселение Сосенское, поселок Коммунарка, ул Липовый парк, д 2А",Москва,Работа в ресторанах,,от 1 года,любое,https://www.rabota.ru/vacancy/50192566/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,85000
Монтажник ВОЛС / Монтажник слаботочных систем,100000— 120000 руб.,['строительно-монтажные работы'],Без тега,"ООО ""ВЕКТОРСБ""",['Балтийская'],"Балтийская,г Москва, Старопетровский проезд, д 7А стр 1",Москва,Работа в строительстве,Строитель,от 1 года,любое,https://www.rabota.ru/vacancy/50144435/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,120000
Визажист-бровист,52000— 90000 руб.,"['ответственность', 'коммуникабельность', 'коррекция бровей', 'окрашивание бровей и ресниц', 'макияж', 'оформление бровей', 'вечерний макияж', 'дневной макияж', 'Окрашивание бровей', 'Архитектура бровей', 'Ламинирование ресниц', 'Укладки', 'Окрашивание ресниц', 'Ламинирование бровей', 'долговременная укладка бровей']",['Студентам'],BrowArt,['Теплый Стан'],"Теплый Стан,г Москва, поселение Сосенское, Калужское шоссе, 21-й км",Москва,Работа в сфере красоты,Визажист,от 1 года,любое,https://www.rabota.ru/vacancy/50131730/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,52000,90000
Менеджер по продажам,60000— 220000 руб.,"['стрессоустойчивость', 'грамотная речь', 'умение работать в команде', 'обучаемость', 'поиск и привлечение клиентов', 'развитие клиентской базы', 'телефонные переговоры', '""холодные"" звонки', 'выполнение плана продаж', 'увеличение объемов продаж', 'Навыки продаж']",Без тега,"ООО ""РЕАЛ ТАЕРС""",['Люблино'],"Люблино,г Москва, ул Верхние Поля, д 51А",Москва,Работа в торговле,Менеджер по продажам,без опыта,любое,https://www.rabota.ru/vacancy/50130771/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,220000
Руководитель отдела продаж,150000— 200000 руб.,"['управленческие навыки', 'клиентоориентированность', 'ведение переговоров', 'проведение презентаций', 'поиск и привлечение клиентов', 'развитие клиентской базы', 'обучение персонала', 'проведение собеседований', 'мотивация персонала', 'адаптация персонала', 'ведение клиентской базы', 'техника продаж', 'ценообразование', 'анализ рынка', 'анализ продаж', 'оптимизация бизнес-процессов', 'анализ конкурентов', 'телефонные переговоры', 'выполнение плана продаж', 'увеличение объемов продаж', 'планирование продаж', 'руководство коллективом', 'управление продажами', 'работа с ключевыми клиентами', 'формирование команды', 'обучение сотрудников', 'CRM-система', 'сопровождение сделки', 'руководство отделом', 'Обучение и развитие', 'организаторские навыки', 'наставничество', 'Управление командой']","['Пенсионерам', 'Студентам']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ШУЛАКОВА ВИКТОРИЯ ЮРЬЕВНА,['Проспект Мира'],"Проспект Мира,г Москва, ул Гиляровского, д 39 к 3",Москва,Начальник,Начальник отдела,от 1 года,высшее,https://www.rabota.ru/vacancy/50124128/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,150000,200000
Слесарь-сборщик м\к,по договоренности,"['сборка изделий по чертежам', 'работа с электроинструментом', 'сборка металлоконструкций', 'слесарные работы', 'сборочные работы']",Без тега,"ООО ""ТМ СЕРВИС""","['Рязанский проспект,', 'Окская ,', 'Плющево']","Рязанский проспект, Окская , Плющево,г Москва, 1-й Институтский проезд, д 1",Москва,Сборщик,Слесарь-сборщик,от 3 лет,среднее профессиональное,https://www.rabota.ru/vacancy/50118690/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
Продавец-кассир,70000— 100000 руб.,"['продажи', 'прием товар']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ТАРАСОВ ДЕНИС ИВАНОВИЧ,['Улица Академика Янгеля'],"Улица Академика Янгеля,г Москва, Россошанский проезд, д 8 к 2",Москва,Работа в торговле,Продавец,от 1 года,любое,https://www.rabota.ru/vacancy/50115400/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,100000
Электромонтажник-слаботочник,90000— 120000 руб.,"['монтажные работы', 'чтение электросхем', 'электромонтажные работы', 'прокладка кабелей', 'работа с электроинструментом', 'монтаж СКС', 'монтаж систем ОПС', 'монтаж слаботочных сетей', 'разводка и прокладка кабелей', 'проведение пусконаладочных работ', 'монтаж электрощитов']",Без тега,"ООО ""ИНЖИНИРИНГГРУПП""",['Кожуховская'],"Кожуховская,г Москва, метро Кожуховская",Москва,Монтажник,Электромонтажник,от 1 года,любое,https://www.rabota.ru/vacancy/50112975/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,120000
Флорист,75000— 120000 руб.,"['пунктуальность', 'дисциплинированность', 'коммуникабельность', 'стрессоустойчивость', 'обучаемость', 'честность']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КОЦЮРУБА МАКСИМ ВЯЧЕСЛАВОВИЧ,['Тульская'],"Тульская,г Москва, Холодильный пер, д 2",Москва,Флористика,,от 3 лет,любое,https://www.rabota.ru/vacancy/50111583/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,75000,120000
Менеджер по продажам строительных материалов,90000— 120000 руб.,"['поиск и привлечение клиентов', 'ведение клиентской базы', 'техника продаж', 'подготовка коммерческих предложений', 'ведение заказов', 'поддержание клиентской базы', 'работа с возражениями']",Без тега,"ООО ""ТД МИАС""",['Электрозаводская'],"Электрозаводская,г Москва, ул Большая Почтовая, д 55/59 стр 1, офис 336",Москва,Работа в торговле,Менеджер по продажам,от 1 года,любое,https://www.rabota.ru/vacancy/50097993/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,120000
Менеджер по продажам,100000— 180000 руб.,"['уверенный пользователь ПК', 'техника продаж', '1С:Управление торговлей', 'работа с клиентами', 'Работа в команде']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ОГАНЯН АВЕТИК АРАМОВИЧ,['Домодедовская'],"Домодедовская,г Москва, МКАД 25-й км",Москва,Работа в торговле,Менеджер по продажам,от 1 года,любое,https://www.rabota.ru/vacancy/50078205/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,180000
"Оператор бобинорезательной/листорезательной машин в типографию, резчик бумаги",48000— 57000 руб.,"['аккуратность', 'обслуживание оборудования', 'наладка станков', 'контроль качества продукции']",Без тега,"ООО ""МЦ Крафт""",['Андроновка'],"Андроновка,г Москва, ул 1-я Фрезерная, д 2/1 стр 1",Москва,Работа на производстве,Резчик,от 2 лет,среднее,https://www.rabota.ru/vacancy/50063289/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,48000,57000
Продавец-консультант в сеть пивных магазинов,65000— 90000 руб.,"['ответственность', 'пунктуальность', 'активность', 'коммуникабельность', 'стрессоустойчивость', 'грамотная речь', 'умение работать в команде', 'обучаемость', 'доброжелательность', 'вежливость', 'работа на кассе', 'общение с клиентами', 'выкладка товара', 'работа в торговом зале', 'техника продаж', 'продажи', 'обслуживание покупателей', 'прием товара', 'сканирование', 'работа с клиентами', 'консультирование', 'консультирование покупателей', 'розничные продажи', 'участие в проведение инвентаризаций', 'умение продавать', 'демонстрация товара', 'кассовая документация', 'прием товар', 'Обучение и развитие', 'Умение говорить', 'работаю в режиме многозадачности']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КРУТОВА АННА АЛЕКСАНДРОВНА,['Озерная'],"Озерная,г Москва, ул Озёрная",Москва,Работа в торговле,Продавец,без опыта,любое,https://www.rabota.ru/vacancy/50049354/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,65000,90000
Печатник на цифровом оборудовании,60000— 120000 руб.,"['ответственность', 'умение работать в команде', 'Adobe Illustrator', 'CorelDraw', 'цифровая печать']",Без тега,"ООО ""МТФ-Сувенир""","['Бутырская,', 'Дмитровская']","Бутырская, Дмитровская,г Москва, проезд Добролюбова, д 3 стр 1",Москва,Работа на производстве,Мастер производства,до года,любое,https://www.rabota.ru/vacancy/50041390/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,120000
Косметолог-эстетист,от 40000 руб.,"['пилинг', 'чистка лица', 'аппаратные процедуры', 'депиляция', 'косметологические процедуры', 'ультразвуковая чистка', 'Аппаратная косметология', 'LPG', 'лазерная эпиляция', 'Гидропилинг']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ МАРКИНА АННА РОМАНОВНА,['Профсоюзная'],"Профсоюзная,г Москва, ул Кржижановского, д 2/21",Москва,Работа в сфере красоты,Эстетист,без опыта,любое,https://www.rabota.ru/vacancy/49972358/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,40000,
Продавец-кассир в супермаркет,60000— 85000 руб.,"['работа в торговом зале', 'прием товар']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ПЕТИ ЕЛЕНА ИВАНОВНА,['ЗИЛ'],"ЗИЛ,г Москва, ул Автозаводская, д 18",Москва,Работа в торговле,Продавец,без опыта,любое,https://www.rabota.ru/vacancy/49874031/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,85000
Менеджер по продажам нерудных материалов,80000— 200000 руб.,"['заключение договоров', 'ведение переговоров', '""холодные"" звонки', 'активные продажи', 'транспортная логистика', 'сопровождение сделки']",Без тега,"ООО ""ЛИДЕР""","['Бабушкинская,', 'Свиблово']","Бабушкинская, Свиблово,г Москва, ул Искры, д 31 к 1",Москва,Работа в торговле,Менеджер по продажам,от 3 лет,высшее,https://www.rabota.ru/vacancy/49861407/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,200000
Заточник,от 70000 руб.,"['шлифовка', 'механическая обработка деталей']",Без тега,"ООО ""ИНТЕХНОКОМ""",['Водный стадион'],"Водный стадион,г Москва, Ленинградское шоссе, д 58 к 17",Москва,Работа на производстве,,без опыта,среднее,https://www.rabota.ru/vacancy/49847571/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,
Менеджер по туризму,45000— 110000 руб.,"['бронирование туров', 'ведение клиентской базы', 'активные продажи', 'ведение заказов', 'расчет стоимости', 'продажи продукта / услуги', 'туроператоры', 'туристические услуги', 'туристические направления', 'подбор тура', 'продажа туров', 'сопровождение клиентов', 'работа с заказами']",Без тега,"ООО ""НАЦИОНАЛЬНАЯ ТУРИСТИЧЕСКАЯ КОМПАНИЯ ГЛОБУС""","['Выхино,', 'Рязанский проспект,', 'Юго-Восточная ,', 'Выхино']","Выхино, Рязанский проспект, Юго-Восточная , Выхино,г Москва, ул Ферганская, д 6 стр 8",Москва,Работа в сфере туризма,,без опыта,любое,https://www.rabota.ru/vacancy/49809409/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,45000,110000
Автослесарь-автомеханик,95000— 210000 руб.,"['ремонт автомобилей', 'ремонт ходовой части', 'техническое обслуживание автомобилей', 'ремонт тормозной системы', 'знание устройства автомобил']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ РОМАНОВ ДМИТРИЙ ПЕТРОВИЧ,['Давыдково'],"Давыдково,г Москва, ул Генерала Дорохова, д 10Д",Москва,Слесарь,Механик-наладчик,без опыта,любое,https://www.rabota.ru/vacancy/49707755/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,95000,210000
Водитель-экспедитор,от 90000 руб.,"['стаж вождения от 5 лет', 'безаварийное вождение', 'перевозка грузов', 'работа с сопроводительной документацией', 'экспедирование', 'спокойный стиль вождения', 'сдача груза', 'прием товара']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ АРТЁМОВ АНДРЕЙ МИХАЙЛОВИЧ,['Аннино'],"Аннино,г Москва",Москва,Работа на транспорте,Водитель,от 5 лет,любое,https://www.rabota.ru/vacancy/49685754/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,
Парикмахер-стилист,60000— 150000 руб.,нет,Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ОЛЬХОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ,['Дубровка'],"Дубровка,г Москва, ул Велозаводская, д 3/2",Москва,Работа в сфере красоты,Стилист,от 1 года,любое,https://www.rabota.ru/vacancy/49626744/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,150000
Выездной представитель банка,от 120000 руб.,"['ответственность', 'организованность', 'внимательность']","['Пенсионерам', 'Студентам', 'Людям с инвалидностью']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КУЗНЕЦОВ ПЕТР ВЛАДИМИРОВИЧ,['Площадь Революции'],"Площадь Революции,г Москва",Москва,Менеджер по обслуживанию,Банковский работник,без опыта,любое,https://www.rabota.ru/vacancy/49585224/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,120000,
Повар-универсал в кафе,80000— 90000 руб.,['приготовление горячих блюд'],"['Пенсионерам', 'Студентам', 'Людям с инвалидностью']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СИЗОВ ВАЛЕРИЙ АНАТОЛЬЕВИЧ,"['Печатники,', 'Перерва']","Печатники, Перерва,г Москва, Батюнинский проезд, д 11 стр 1",Москва,Работа в ресторанах,Повар,от 1 года,любое,https://www.rabota.ru/vacancy/49576938/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,90000
Продавец-кассир,50000— 80000 руб.,['работа на кассе'],"['Пенсионерам', 'Студентам']",Индивидуальный предприниматель МОЛЕВА АНАСТАСИЯ АЛЕКСАНДРОВНА,['Улица Сергея Эйзенштейна'],"Улица Сергея Эйзенштейна,г Москва, ул Малахитовая, д 7",Москва,Работа в торговле,Продавец,без опыта,любое,https://www.rabota.ru/vacancy/49492113/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,80000
Врач-косметолог,70000— 150000 руб.,"['ведение медицинской документации', 'составление плана лечения', 'пилинг', 'мезотерапия', 'чистка лица', 'биоревитализация', 'контурная пластика', 'инъекционные процедуры', 'Аппаратная косметология', 'лазерная эпиляция', 'Ботулинотерапия', 'Плазмотерапия']",Без тега,"ООО ""ЛЕО-Н""","['Волгоградский проспект,', 'Пролетарская']","Волгоградский проспект, Пролетарская,г Москва, ул Мельникова, д 3 к 3",Москва,Работа в сфере красоты,Косметолог,от 3 лет,высшее,https://www.rabota.ru/vacancy/49441970/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,150000
Работник склада/Грузчик,90000— 110000 руб.,"['ответственность', 'погрузочно-разгрузочные работы', 'отгрузка товара', 'комплектация товара', 'выгрузка товара', 'Работа в команде', 'Грузчик']",Без тега,"АО ""ГЛАВСНАБ""",['Молодежная'],"Молодежная,г Москва, ул Ивана Франко, д 41 стр 1",Москва,Работа на складах,Работник склада,до года,любое,https://www.rabota.ru/vacancy/49208446/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,110000
Оклейщик авто,по договоренности,"['ответственность', 'высокая скорость работы', 'обучаемость']",Без тега,"ООО ""Нэссип""",['Филатов Луг'],"Филатов Луг,г Москва, метро Филатов луг",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/48957946/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
Фандрайзер,100000— 300000 руб.,['уверенный пользователь ПК'],"['Пенсионерам', 'Студентам', 'Людям с инвалидностью']",ПК Скрепы,['Ботанический сад'],"Ботанический сад,г Москва, пр-кт Мира, д 119 стр 44",Москва,Работа в финансовой сфере,,без опыта,любое,https://www.rabota.ru/vacancy/48834936/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,300000
Помощник официанта в ресторан,30000— 45000 руб.,"['ответственность', 'умение работать в команде', 'обучаемость', 'поддержание чистоты и порядка']","['Пенсионерам', 'Студентам']","ЗАО ""ХАНКО""",['Парк культуры'],"Парк культуры,г Москва, Фрунзенская наб, д 14/2",Москва,Работа в ресторанах,Официант,без опыта,любое,https://www.rabota.ru/vacancy/48748946/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,30000,45000
Специалист по продаже недвижимости,от 195000 руб.,"['ответственность', 'пунктуальность', 'целеустремленность', 'коммуникабельность', 'уверенный пользователь ПК', 'гибкость']",Без тега,"ООО ""АН ""НА ЯУЗЕ""",['Электрозаводская'],"Электрозаводская,г Москва, Семеновская наб, д 2/1 стр 1",Москва,Работа в сфере недвижимости,Риэлтор,без опыта,любое,https://www.rabota.ru/vacancy/48731905/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,195000,
Технолог пищевого производства,от 100000 руб.,"['контроль качества', 'обучение персонала', 'расчет себестоимости', 'ведение документации', 'технология производства', 'работа с технологическими картами', 'организация производства', 'контроль за производством', 'составление технологических карт', 'технологические карты', 'контроль качества продуктов']",['Пенсионерам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ПЕТРОВА МАРИЯ АЛЕКСАНДРОВНА,['Беляево'],"Беляево,г Москва",Москва,Работа на производстве,Технолог,от 5 лет,высшее,https://www.rabota.ru/vacancy/48730201/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,
Менеджер по продажам оборудования,70000— 150000 руб.,"['поиск и привлечение клиентов', 'техника продаж', 'увеличение объемов продаж', 'поддержание клиентской базы', 'пользователь ПК']",Без тега,"ООО ""СОМАС""",['Алтуфьево'],"Алтуфьево,г Москва, ул Новгородская, д 1",Москва,Работа в торговле,Менеджер по продажам,от 3 лет,любое,https://www.rabota.ru/vacancy/48722765/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,150000
Оператор алмазного бурения,100000— 150000 руб.,нет,Без тега,"ООО ""МОСБУРСТРОЙ""",['Площадь Революции'],"Площадь Революции,г Москва",Москва,Администратор,Администратор пункта выдачи заказов,без опыта,среднее,https://www.rabota.ru/vacancy/48571447/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,150000
Утюжник,50000— 80000 руб.,"['Обеспечение высокого качества обработки изделий,', 'Высокого качества обработки изделий,']","['Пенсионерам', 'Студентам']",Индивидуальный предприниматель ТИМОФЕЕВ ВАЛЕРИЙ НИКОЛАЕВИЧ,['Нижегородская'],"Нижегородская,г Москва, ул Смирновская, д 25 стр 16",Москва,Работа в сфере бытовых услуг,Гладильщик,от 3 лет,среднее,https://www.rabota.ru/vacancy/48558209/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,80000
Менеджер по недвижимости,70000— 80000 руб.,"['работа с поставщиками', 'подготовка коммерческих предложений', 'размещение заказов поставщикам', 'размещение рекламных материалов', 'оформление договоров', 'заключения договоров аренды', 'юридическая помощь']",Без тега,ИП Хмельницкий Леонид Александрович,['Люблино'],"Люблино,г Москва, ул Краснодонская, д 24 стр 2",Москва,Работа в сфере недвижимости,Риэлтор,от 5 лет,высшее,https://www.rabota.ru/vacancy/48536879/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,80000
