Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
Электромонтер,90000— 160000 руб.,"['электромонтажные работы', 'обслуживание электрооборудования']",Без тега,Индивидуальный предприниматель БИРЮКОВА МАРИНА ВЛАДИМИРОВНА,['Нахимовский проспект'],"Нахимовский проспект,г Москва, ул Азовская, д 6 к 3",Москва,Работа в строительстве,Монтер,без опыта,любое,https://www.rabota.ru/vacancy/50445237/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,160000
Клинер / Уборщик/ца,70000— 100000 руб.,"['мытье окон', 'генеральная уборка', 'уборка помещений', 'сухая и влажная уборка']",Без тега,ООО Клининговая Компания Настенька,"['ВДНХ,', 'Улица Академика Королева']","ВДНХ, Улица Академика Королева,г Москва, ул 2-я Останкинская, д 1 стр 2",Москва,Работа в сфере бытовых услуг,Уборщица,без опыта,любое,https://www.rabota.ru/vacancy/50322719/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,100000
Электрик,от 45000 руб.,нет,Без тега,"ТСЖ ""ПАНДЖШЕР 17""",['Чертановская'],"Чертановская,г Москва, Сумской проезд, д 8 к 3",Москва,Работа в строительстве,,от 10 лет,любое,https://www.rabota.ru/vacancy/50322057/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,45000,
Монтажник вентиляции,60000— 190000 руб.,"['монтаж системы вентиляции', 'монтаж систем отопления', 'монтаж систем водоснабжения', 'монтаж канализации']","['Пенсионерам', 'Студентам']",ООО УК КСР,['Каховская'],"Каховская,г Москва, ул Одесская, д 16",Москва,Работа в строительстве,Строитель,без опыта,любое,https://www.rabota.ru/vacancy/50293730/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,190000
Контролер торгового зала (бутик одежды и аксессуаров),по договоренности,"['коммуникабельность', 'доброжелательность', 'консультирование клиентов', 'работа в торговом зале', 'сопровождение клиентов', 'Деловое общение', 'мода']",['Студентам'],"ООО ""ЭКСПЕРТЫ РЫНКА ТРУДА""","['ЦСКА,', 'ЦСКА']","ЦСКА, ЦСКА,г Москва, метро ЦСКА",Москва,Работа в сфере безопасности,Охранник,без опыта,любое,https://www.rabota.ru/vacancy/50245235/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
Администратор салона красоты,50000— 90000 руб.,"['ответственность', 'коммуникабельность', 'стрессоустойчивость', 'грамотная речь', 'управление персоналом', 'общение с клиентами', 'прием входящих звонков', 'встреча клиентов', 'исходящие звонки']",['Студентам'],"ООО ""ЛАФИЕРРО""",['Планерная'],"Планерная,г Москва, метро Планерная",Москва,Администратор,Администратор на ресепшн,без опыта,любое,https://www.rabota.ru/vacancy/50205033/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,90000
Уборщик/ца,55000 руб.,"['умение работать в команде', 'генеральная уборка', 'уборка офиса', 'сухая и влажная уборка', 'вынос мусора', 'мытье полов', 'уборка туалетов', 'поддержание чистоты и порядка']",['Пенсионерам'],ООО РТ-Клининг,"['Бауманская,', 'Курская,', 'Курская,', 'Римская,', 'Чкаловская,', 'Площадь Ильича,', 'Курская,', 'Курская,', 'Серп и Молот']","Бауманская, Курская, Курская, Римская, Чкаловская, Площадь Ильича, Курская, Курская, Серп и Молот,г Москва, наб Академика Туполева, д 15 к 28",Москва,Работа в сфере бытовых услуг,Уборщица,без опыта,любое,https://www.rabota.ru/vacancy/50174027/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,55000,
Заместитель главного бухгалтера,80000— 100000 руб.,"['1С:Предприятие 8', 'бухгалтерский учет', 'налоговый учет', 'сдача отчетности', 'расчет заработной платы', 'УСНО', 'Банк-клиент', 'составление актов сверок', 'ведение первичной документации', 'сдача бухгалтерской отчетности', 'ведение всех участков', 'взаиморасчеты с контрагентами', 'сдача налоговой отчетности', 'ведение бухгалтерского учета', 'ведение нескольких юридических лиц', 'прохождение проверок', 'бухгалтерская отчетность', 'Контур']","['Пенсионерам', 'Студентам', 'Людям с инвалидностью']",ООО Фирма Караван,['Сокол'],"Сокол,г Москва, ул Новопесчаная, д 7",Москва,Работа в бухгалтерии,Бухгалтер,от 5 лет,любое,https://www.rabota.ru/vacancy/50128080/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,100000
Инженер ПТО/ Специалист по ремонтным и строительным вопросам,100000— 150000 руб.,"['ответственность', 'исполнительность', 'коммуникабельность', 'стрессоустойчивость', 'MS Office', 'MS Office  Excel', 'управление персоналом', 'работа с технической документацией', 'контроль качества', 'СНиПы', 'ведение объектов', 'ГОСТы', 'нормативные документы', 'AutoCAD', 'разработка проектной документации', 'работа с документами', 'подготовка исполнительной документации', 'работа с заказчиками', 'работа с подрядными организациями', 'работа с проектно-сметной документацией', 'составление спецификаций', 'контроль за выполнением работ', 'подсчет объемов работ', 'сдача исполнительной документации', 'Аналитическое мышление']",Без тега,"ООО ""РЕАЛИСТ""",['Окружная'],"Окружная,г Москва, Гостиничный проезд, д 6 к 2, помещ 213",Москва,Технический специалист,Специалист по инженерным системам,от 5 лет,высшее,https://www.rabota.ru/vacancy/50123663/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,150000
Менеджер в фотостудию,40000— 65000 руб.,"['MS Office', 'уверенный пользователь ПК']",Без тега,Фотоксерокс,"['Алтуфьево,', 'Физтех']","Алтуфьево, Физтех,г Москва, Челобитьевское шоссе, д 10 к 2",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/50095799/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,40000,65000
