,Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
7280,Повар-универсал в кафе,85000— 160000 руб.,"['ответственность', 'пунктуальность', 'медицинская книжка', 'кормление', 'европейская кухня', 'итальянская кухня', 'приготовление горячих блюд', 'приготовление салатов', 'приготовление холодных блюд', 'подача блюд', 'оформление блюд', 'повар']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ВАСИЛЬЕВ МИХАИЛ АЛЕКСАНДРОВИЧ,['Проспект Славы'],"Проспект Славы,г Санкт-Петербург",Санкт-Петербург,Работа в ресторанах,Повар,от 1 года,любое,https://spb.rabota.ru/vacancy/53746956/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,85000,160000
7281,Сборщик мебели,по договоренности,"['сборка корпусной мебели', 'работа на присадочных станках']",Без тега,"ООО ""МДМ-ГРУПП""",['Выборгская'],"Выборгская,г Санкт-Петербург, ул Чугунная, д 20 литера Е",Санкт-Петербург,,Сборщик,от 3 лет,любое,https://spb.rabota.ru/vacancy/53734163/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,,
7282,Администратор в компьютерный клуб,35000— 50000 руб.,"['ответственность', 'пунктуальность', 'коммуникабельность', 'стрессоустойчивость', 'умение работать в команде', 'обучаемость', 'общение с клиентами', 'прием входящих звонков', 'кассовая дисциплина', 'приемка товара', 'продажа услуг', 'консультирование пользователей', 'техническая поддержка пользователей', 'установка и настройка ПО', 'консультирование посетителей', 'встреча гостей', 'обеспечение жизнедеятельности офиса', 'решение административно-хозяйственных вопросов', 'организация приема посетителей']",Без тега,ИП Лукашев Дмитрий Игоревич,['Академическая'],"Академическая,г Санкт-Петербург, ул Карпинского, д 38 к 1 литера А, помещ 12Н",Санкт-Петербург,Администратор,Администратор пункта выдачи заказов,без опыта,любое,https://spb.rabota.ru/vacancy/53528623/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,35000,50000
7283,Администратор школы английского языка,30000— 35000 руб.,нет,['Студентам'],"ООО ""ЛЕРНИНГ ГРУП""",['Невский проспект'],"Невский проспект,г Санкт-Петербург, Шведский пер, д 2",Санкт-Петербург,Администратор,Администратор на ресепшн,без опыта,любое,https://spb.rabota.ru/vacancy/53495110/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,30000,35000
7284,Сварщик-сантехник,100000— 140000 руб.,['сварка трубопроводов'],Без тега,"ОГОРОДНИЧЕСКОЕ НЕКОММЕРЧЕСКОЕ ТОВАРИЩЕСТВО ""МЕДИК""",['Адмиралтейская'],"Адмиралтейская,г Санкт-Петербург",Санкт-Петербург,Работа в строительстве,Сантехник,от 1 года,любое,https://spb.rabota.ru/vacancy/53435872/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,100000,140000
7289,Горничная,от 70000 руб.,нет,Без тега,ИП Богданов Антон Павлович,['Чернышевская'],"Чернышевская,г Санкт-Петербург, ул Захарьевская, д 12",Санкт-Петербург,,,без опыта,любое,https://spb.rabota.ru/vacancy/52357836/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,70000,
7290,Преподаватель английского языка,45000— 75000 руб.,"['ответственность', 'пунктуальность', 'грамотность', 'грамотная речь', 'любовь к детям', 'организация учебного процесса', 'обучение детей', 'индивидуальные занятия', 'групповые занятия', 'разработка методических материалов', 'проведение уроков', 'репетиторство', 'преподавание английского языка', 'консультирование учащихся', 'английский язык']",['Студентам'],ИП Бекетов Геннадий Владимирович,['Беговая'],"Беговая,г Санкт-Петербург, ул Туристская, д 23 к 5",Санкт-Петербург,Работа в сфере образования,Учитель,от 1 года,высшее,https://spb.rabota.ru/vacancy/52098322/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,45000,75000
7291,Бухгалтер,от 80000 руб.,"['1C', '1С:Бухгалтерия', 'налоговый учет', 'кадровое делопроизводство', 'сдача бухгалтерской отчетности', 'ЭДО']",Без тега,"ООО ""Нева Кофе""",['Ладожская'],"Ладожская,г Санкт-Петербург, Заневский пр-кт, д 71",Санкт-Петербург,Работа в бухгалтерии,,от 3 лет,любое,https://spb.rabota.ru/vacancy/51689373/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,80000,
7292,Швея-универсал,от 60000 руб.,нет,Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БИКБОВА СВЕТЛАНА БОРИСОВНА,['Нарвская'],"Нарвская,г Санкт-Петербург, наб Обводного канала, д 223-225",Санкт-Петербург,Работа в сфере бытовых услуг,Швея,от 1 года,любое,https://spb.rabota.ru/vacancy/51025630/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,60000,
7293,Администратор на ресепшн,35000— 45000 руб.,"['грамотная речь', 'умение работать в команде', 'доброжелательность', 'общение с клиентами', 'кассовая дисциплина', 'телефонные переговоры', 'встреча гостей', 'СКАЛА', 'Bnovo', 'Контроль работы горничных']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СЕЛЕЗНЕВА НАТАЛЬЯ ИВАНОВНА,['Дунайская'],"Дунайская,г Санкт-Петербург, ул Бухарестская, д 130 к 2",Санкт-Петербург,Администратор,Администратор пункта выдачи заказов,без опыта,любое,https://spb.rabota.ru/vacancy/50305466/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,35000,45000
7294,Администратор,32000— 35000 руб.,['администратор'],Без тега,ООО Сосновая Поляна,['Проспект Ветеранов'],"Проспект Ветеранов,г Санкт-Петербург, пр-кт Ветеранов, д 166 литера А",Санкт-Петербург,Администратор,Администратор пункта выдачи заказов,без опыта,любое,https://spb.rabota.ru/vacancy/50304937/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,32000,35000
7295,Сиделка,40000— 97000 руб.,"['пунктуальность', 'дисциплинированность', 'стрессоустойчивость', 'заказ продуктов', 'приготовление блюд', 'уборка', 'приготовление пищи', 'гигиенические процедуры', 'уход за пожилыми', 'кормление', 'уход за больным', 'смена белья', 'уход за лежачим больным', 'измерение давления', 'контроль приёма лекарств', 'санитарно-гигиенические процедуры', 'поддержание чистоты и порядка', 'Уход за пожилыми людьми', 'Уборка стирка готовка']",['Пенсионерам'],"АНО ""СВЕТ""","['Невский проспект,', 'Гостиный двор']","Невский проспект, Гостиный двор,г Санкт-Петербург, Невский пр-кт, д 44 литера А",Санкт-Петербург,Работа для домашнего персонала,Сиделка,от 1 года,любое,https://spb.rabota.ru/vacancy/50271741/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,40000,97000
