id,Название вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Категория,Детальные категории,Город,Метро,Линия метро,Цвет линии метро,Адрес,Id компании,Индуcтрия,Кол-во персонала в компании,Кол-во размещенных вакансий,Название компании,Опыт,График работы,Образование,Широта,Долгота,ссылка
51809032,Маляр-альпинист,175000,175000,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Строительно-монтажные работы', 'Рабочий персонал, разное', 'Квалифицированный рабочий']",Екатеринбург,[],[],[],,3856938,,менее 50,1832.0,"Барс Пром/ООО ""БАРС ПРОМ""",От 1 года,Полный рабочий день,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/malyar-alpinist-51809032.html
51809105,Отделочник,150000,150000,rub,"['Рабочий персонал', 'Строительство, проектирование, недвижимость']","['Рабочий персонал, разное', 'Квалифицированный рабочий', 'Отделочные работы']",Екатеринбург,[],[],[],,3856938,,менее 50,1832.0,"Барс Пром/ООО ""БАРС ПРОМ""",От 1 года,Полный рабочий день,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/otdelochnik-51809105.html
51821460,Продавец в зону готовой еды,39500,59500,rub,"['Страхование', 'Строительство, проектирование, недвижимость', 'Топ-персонал']","['Страхование юридических лиц', 'Эксплуатация зданий', 'Туризм, гостиницы, общественное питание']",Екатеринбург,[],[],[],"Екатеринбург, Летчиков, 15",280168,,более 5000,18163.0,"Магнит, Розничная сеть",Не имеет значения,Сменный график работы,Не имеет значения,56.863014,60.574718,https://ekaterinburg.superjob.ru/vakansii/prodavec-v-zonu-gotovoj-edy-51821460.html
51830280,Маляр,131000,200000,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Строительно-монтажные работы', 'Рабочий персонал, разное', 'Квалифицированный рабочий']",Екатеринбург,[],[],[],,970633,,более 5000,2342.0,Трест Росспецэнергомонтаж,От 1 года,Полный рабочий день,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/malyar-51830280.html
51835911,Инженер 2 категории участка исследований металлов,74000,0,rub,"['Строительство, проектирование, недвижимость', 'Промышленность, производство']","['Управление недвижимостью', 'Электроснабжение', 'Атомная энергетика']",Екатеринбург,[],[],[],,178200,,1000 — 5000,61.0,Т Плюс,Без опыта,Полный рабочий день,Среднее специальное,,,https://ekaterinburg.superjob.ru/vakansii/inzhener-2-kategorii-uchastka-issledovanij-metallov-51835911.html
51836854,Бригадир,60000,0,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Строительно-монтажные работы', 'Эксплуатация зданий', 'Квалифицированный рабочий']",Екатеринбург,[],[],[],"Свердловская область, Екатеринбург, Соликамская улица, 14",2466656,,более 5000,6387.0,Российские железные дороги,От 1 года,Полный рабочий день,Среднее,56.874554,60.513275,https://ekaterinburg.superjob.ru/vakansii/brigadir-51836854.html
51841525,Дежурная вагонного парка,57000,69000,rub,"['Промышленность, производство', 'Строительство, проектирование, недвижимость']","['Экология', 'Экологическое сопровождение проектов']",Екатеринбург,[],[],[],"Екатеринбург, Строителей",2466656,,более 5000,6387.0,Российские железные дороги,Без опыта,Полный рабочий день,Среднее,56.875473,60.502754,https://ekaterinburg.superjob.ru/vakansii/dezhurnaya-vagonnogo-parka-51841525.html
51843214,Главный специалист группы промышленной и пожарной безопасности,100000,0,rub,"['Строительство, проектирование, недвижимость', 'Промышленность, производство']","['Начало карьеры, мало опыта', 'Нефтепереработка']",Екатеринбург,[],[],[],"проспект Космонавтов, 21",178200,,1000 — 5000,61.0,Т Плюс,От 1 года,Полный рабочий день,Высшее,,,https://ekaterinburg.superjob.ru/vakansii/glavnyj-specialist-gruppy-promyshlennoj-i-pozharnoj-bezopasnosti-51843214.html
51846409,Электромонтер по обслуживанию электрооборудования электростанций 5 разряда,78000,0,rub,"['Строительство, проектирование, недвижимость']","['Отопление, вентиляция и кондиционирование', 'Строительно-монтажные работы']",Екатеринбург,[],[],[],,178200,,1000 — 5000,61.0,Т Плюс,От 1 года,Сменный график работы,Среднее,,,https://ekaterinburg.superjob.ru/vakansii/elektromonter-po-obsluzhivaniyu-elektrooborudovaniya-elektrostancij-5-razryada-51846409.html
51846750,Приемщик в Гипермаркет Магнит,40600,60900,rub,"['Строительство, проектирование, недвижимость']","['Строительно-монтажные работы', 'Управление недвижимостью']",Екатеринбург,[],[],[],"Екатеринбург, Айвазовского, 53",280168,,более 5000,18163.0,"Магнит, Розничная сеть",Не имеет значения,Сменный график работы,Не имеет значения,56.802273,60.598759,https://ekaterinburg.superjob.ru/vakansii/priemschik-v-gipermarket-magnit-51846750.html
51846807,Продавец кафе/прилавков в Гипермаркет,48000,79000,rub,"['Продажи', 'Строительство, проектирование, недвижимость']","['Агентства недвижимости, оценка недвижимости', 'Подводно-технические работы']",Екатеринбург,[],[],[],"Екатеринбург, Айвазовского, 53",280168,,более 5000,18163.0,"Магнит, Розничная сеть",Без опыта,Полный рабочий день,Не имеет значения,56.802273,60.598759,https://ekaterinburg.superjob.ru/vakansii/prodavec-kafe-51846807.html
51846917,Продавец магазина Магнит,39500,53000,rub,"['Продажи', 'Строительство, проектирование, недвижимость']","['Агентства недвижимости, оценка недвижимости', 'Управление недвижимостью', 'Управление строительством, девелопмент', 'Другое']",Екатеринбург,[],[],[],"Екатеринбург, Машинная, 44",280168,,более 5000,18163.0,"Магнит, Розничная сеть",Не имеет значения,Полный рабочий день,Не имеет значения,56.805569,60.627254,https://ekaterinburg.superjob.ru/vakansii/prodavec-magazina-magnit-51846917.html
