Название вакансии,Минимальная зарплата,Максимальная зарплата,Опыт работы,Образование,Компания,Город,Адрес,Широта,Долгота,Метро,Ссылка,Источник
Уборщик производственных помещений,60000.0,,без опыта,любое,"""Ресторан Москва"" ООО",Санкт-Петербург,"Площадь Александра Невского, Площадь Александра Невского,г Санкт-Петербург, пл Александра Невского, д 2",59.9246448,30.3869419,"['Площадь Александра Невского,', 'Площадь Александра Невского']",https://spb.rabota.ru/vacancy/37730225/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Офис-менеджер,50000.0,,без опыта,любое,"ООО ""СЛП""",Санкт-Петербург,"Парнас,г Санкт-Петербург, поселок Парголово, Выборгское шоссе, д 212 литера А",60.0681894,30.2903014,['Парнас'],https://spb.rabota.ru/vacancy/52591082/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Токарь,120000.0,150000.0,от 3 лет,любое,"ООО Завод ""ЭНЕРГОПРОМ""",Санкт-Петербург,"Девяткино,Ленинградская обл, Всеволожский р-н, деревня Новое Девяткино, 1-й с ул. Главная сзд, зд 12",,,['Девяткино'],https://spb.rabota.ru/vacancy/42217818/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Слесарь МСР (инструментальщик),90000.0,,от 5 лет,любое,"Общество с ограниченной ответственностью ""МашТехнология"" (ООО ""МТ"")",Санкт-Петербург,"Кировский завод,г Санкт-Петербург, пр-кт Стачек, д 47 к 2 литера А",59.878562,30.2568479,['Кировский завод'],https://spb.rabota.ru/vacancy/30231661/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Повар шведской линии (завтраки),,,без опыта,среднее,Станция,Санкт-Петербург,"Чернышевская, Площадь Восстания,г Санкт-Петербург, Лиговский пр-кт, д 1",59.9322136,30.3611885,"['Чернышевская,', 'Площадь Восстания']",https://spb.rabota.ru/vacancy/54253450/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Оператор call-центра,60000.0,,без опыта,среднее,"Группа компаний ""Ареал""",Санкт-Петербург,"Нарвская,г Санкт-Петербург, ул Курляндская, д 35",59.9116909,30.274814,['Нарвская'],https://spb.rabota.ru/vacancy/54253852/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Менеджер по продажам,60000.0,200000.0,без опыта,неполное высшее,"ООО ""СЛП""",Санкт-Петербург,"Парнас,г Санкт-Петербург, поселок Парголово, Выборгское шоссе, д 212 литера А",60.0681894,30.2903014,['Парнас'],https://spb.rabota.ru/vacancy/54253737/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Агент по недвижимости,150000.0,250000.0,без опыта,любое,Панорама,Санкт-Петербург,"Площадь Восстания,г Санкт-Петербург, ул Восстания, д 7",59.9330973,30.3604532,['Площадь Восстания'],https://spb.rabota.ru/vacancy/54253234/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Грузчик - разнорабочий,,65000.0,без опыта,любое,"ООО ""Экспо М""",Санкт-Петербург,"Пролетарская,г Санкт-Петербург, ул Чернова, д 2 литера Б",59.8641826,30.4705217,['Пролетарская'],https://spb.rabota.ru/vacancy/54252650/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Горничная,55000.0,80000.0,до года,любое,Станция,Санкт-Петербург,"Владимирская, Маяковская,г Санкт-Петербург, ул Марата, д 19",59.6854613,30.4455209,"['Владимирская,', 'Маяковская']",https://spb.rabota.ru/vacancy/44142203/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
