Название вакансии,Минимальная зарплата,Максимальная зарплата,Опыт работы,Образование,Компания,Город,Адрес,Широта,Долгота,Метро,Ссылка,Источник
Инструктор по практической стрельбе IPSC Action Air,,,от 1 года,высшее,"ООО ""ВРЕМЯ ГЕРОЕВ""",Москва,"Арбатская,г Москва, Никитский б-р",55.7539496,37.6010335,['Арбатская'],https://www.rabota.ru/vacancy/50488392/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Архитектор,80000.0,100000.0,без опыта,высшее,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КОГУТЯК ИОН СПИРИДОНОВИЧ,Москва,"Маяковская,г Москва, ул Большая Садовая, д 5",55.7684892,37.5937341,['Маяковская'],https://www.rabota.ru/vacancy/50163762/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Монолитчик,120000.0,200000.0,до года,любое,"ООО ""СМК МОНОЛИТСТРОЙЭКСПЕРТ""",Москва,"Красный Балтиец,г Москва, ул Часовая",55.8107134,37.5217113,['Красный Балтиец'],https://www.rabota.ru/vacancy/48771939/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Менеджер по продажам в IT-компанию,80000.0,150000.0,от 1 года,высшее,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЩЕЛКУНОВ ВИКТОР ВАЛЕНТИНОВИЧ,Москва,"Площадь Революции,г Москва",55.625578,37.6063916,['Площадь Революции'],https://www.rabota.ru/vacancy/54245786/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель службы корпоративной доставки,,220000.0,без опыта,любое,Кондратьева Наталья Михайловна,Москва,"Яхромская,г Москва, ул 800-летия Москвы",55.8759926,37.5330358,['Яхромская'],https://www.rabota.ru/vacancy/54244889/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Менеджер маркетплейсов (мебель),100000.0,,от 1 года,высшее,Эталон,Москва,"г Москва, ул Вельяминовская, д 34",55.7848635,37.7225357,,https://www.rabota.ru/vacancy/54244066/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Администратор,,,до года,любое,"ООО МЦ ""КЛИНИКА 1""",Москва,"Дубровка,г Москва, ул Шарикоподшипниковская, д 13А",55.7166583,37.6782651,['Дубровка'],https://www.rabota.ru/vacancy/54243934/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Сиделка/Помощник по уходу,60000.0,100000.0,без опыта,среднее,"ООО ""Опека-МСК""",Москва,"Курская,г Москва",55.625578,37.6063916,['Курская'],https://www.rabota.ru/vacancy/54240789/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Главный бухгалтер,,80000.0,от 3 лет,высшее,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СИДЕЛЬНИКОВА ЛЮДМИЛА ИВАНОВНА,Москва,"Коптево,г Москва, Фармацевтический проезд, д 3",55.8336049,37.5170487,['Коптево'],https://www.rabota.ru/vacancy/54236535/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Менеджер маркетплейса OZON,50000.0,350000.0,от 1 года,высшее,ООО Пенофом Рус,Москва,"Бабушкинская,г Москва, ул Енисейская",55.8812134,37.6707175,['Бабушкинская'],https://www.rabota.ru/vacancy/54232100/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Швея на мягкую мебель,100000.0,180000.0,от 1 года,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ УТКИН ВАЛЕРИЙ ВАЛЕРЬЕВИЧ,Москва,"Дегунино,г Москва, Алтуфьевское шоссе, д 37 стр 6",55.867508,37.5805424,['Дегунино'],https://www.rabota.ru/vacancy/54229610/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Менеджер по продажам рекламы (удаленно),45000.0,120000.0,до года,любое,Индивидуальный предприниматель Копанев Александр Владимирович,Москва,"Киевская,г Москва",55.625578,37.6063916,['Киевская'],https://www.rabota.ru/vacancy/54229494/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Пеший курьер в компанию,105500.0,122000.0,без опыта,любое,"ООО ""АРМАКС""",Москва,"Парк Победы,г Москва, Кутузовский пр-кт",55.7385873,37.526425,['Парк Победы'],https://www.rabota.ru/vacancy/54228835/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Пеший курьер по доставке документов,100000.0,140000.0,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ПОТЁМКИН РУСЛАН СЕРГЕЕВИЧ,Москва,г Москва,55.625578,37.6063916,,https://www.rabota.ru/vacancy/54225231/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Мастер швейного цеха,100000.0,120000.0,от 1 года,любое,"ООО ""ДЕЗКОВ""",Москва,"Аминьевская,г Москва, Очаковское шоссе, д 16 стр 8",55.6940877,37.4504821,['Аминьевская'],https://www.rabota.ru/vacancy/54222931/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Горничная-уборщик/ца,80000.0,90000.0,от 1 года,любое,Индивидуальный предприниматель Янутан Михаил Викторович,Москва,"Преображенская площадь,г Москва, Колодезный пер, д 14",55.7956411,37.6992802,['Преображенская площадь'],https://www.rabota.ru/vacancy/54212055/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Помощник руководителя,90000.0,130000.0,без опыта,любое,"ООО ""САТУРН""",Москва,"Международная,г Москва, Пресненская наб",55.7456793,37.5364683,['Международная'],https://www.rabota.ru/vacancy/54209281/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Мастер по ремонту стиральных машин,150000.0,,до года,любое,ООО Солспейс,Москва,"Площадь Революции,г Москва",55.625578,37.6063916,['Площадь Революции'],https://www.rabota.ru/vacancy/54205762/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Hr-менеджер,,,от 1 года,среднее,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ХРАПОВА МАРИНА АЛЕКСАНДРОВНА,Москва,"Площадь Революции,г Москва",55.625578,37.6063916,['Площадь Революции'],https://www.rabota.ru/vacancy/54205119/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Брокер/менеджер по продаже и аренде коммерческой недвижимости,250000.0,500000.0,от 1 года,любое,Консалт Недвижимость,Москва,"Сокол,г Москва, Волоколамское шоссе, д 2",55.8126772,37.4817431,['Сокол'],https://www.rabota.ru/vacancy/54204529/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Стилист для видео-съёмок (удалённо),,,от 1 года,среднее,ИП Мингишев Рустам Булгамбекович,Москва,"Тверская, Пушкинская, Чеховская,г Москва, ул Тверская, д 20 стр 1",55.7667668,37.6022437,"['Тверская,', 'Пушкинская,', 'Чеховская']",https://www.rabota.ru/vacancy/53935123/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Уборщик/ца,50000.0,,без опыта,любое,"ТСЖ ""ЖИЛОЙ КОМПЛЕКС ""ЗАПОВЕДНЫЙ""",Москва,"Тропарево,г Москва, ул Островитянова, д 6",55.6443432,37.4906093,['Тропарево'],https://www.rabota.ru/vacancy/53921945/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Ассистент/помощник менеджера отдела продаж (без поиска клиентов),75000.0,85000.0,от 1 года,любое,ООО Мозаика-Синтез,Москва,"Народное ополчение,г Москва, пр-кт Маршала Жукова, д 78 к 2",55.7800636,37.4500583,['Народное ополчение'],https://www.rabota.ru/vacancy/53919568/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Комплектовщик заказов,120000.0,250000.0,без опыта,любое,"ООО ""ФРАЙДЕЙ""",Москва,"Павелецкая, Площадь Революции, Таганская, Комсомольская, Деловой центр,г Москва",55.625578,37.6063916,"['Павелецкая,', 'Площадь Революции,', 'Таганская,', 'Комсомольская,', 'Деловой центр']",https://www.rabota.ru/vacancy/53918206/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Курьер в офис компании,85000.0,140000.0,до года,любое,"ООО ""ГЕОРГ""",Москва,"Международная, Деловой центр, Деловой центр,г Москва, метро Москва-Сити (МЦД-4)",55.7493807,37.5385448,"['Международная,', 'Деловой центр,', 'Деловой центр']",https://www.rabota.ru/vacancy/53917522/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Педагог по ИЗО и живописи,10000.0,25000.0,от 1 года,среднее профессиональное,Детский центр Шаг,Москва,"Селигерская,г Москва, Ильменский проезд, д 14 к 1",55.8606578,37.5452889,['Селигерская'],https://www.rabota.ru/vacancy/53912191/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Курьер,40000.0,45000.0,без опыта,любое,ООО БСП Сервис,Москва,"Октябрьское поле,г Москва, ул Берзарина, д 36 стр 1, офис 213",55.7910319,37.4662088,['Октябрьское поле'],https://www.rabota.ru/vacancy/53906415/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Юрист,80000.0,,без опыта,высшее,ИП ГОЛОМИДОВ ЮРИЙ ВЛАДИМИРОВИЧ,Москва,г Москва,55.625578,37.6063916,,https://www.rabota.ru/vacancy/53892353/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель категории C,110000.0,160000.0,от 3 лет,среднее,"ООО ""СУ-16""",Москва,"Аминьевская, Давыдково,г Москва, ул Генерала Дорохова, д 10Г стр 5",55.7029846,37.4430763,"['Аминьевская,', 'Давыдково']",https://www.rabota.ru/vacancy/53882207/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Бариста,40000.0,90000.0,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ АХМЕТОВА АИМЖАН АЛЕКСЕЕВНА,Москва,"г Москва, Варшавское шоссе, д 170Е к 9",55.5799238,37.5887787,,https://www.rabota.ru/vacancy/53827785/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Продавец парфюмерии и косметики,100000.0,150000.0,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ГАСАНЛИ ПАРВИН ГАДИР ОГЛЫ,Москва,"Севастопольская,г Москва, ул Азовская, д 24 к 3",55.6505165,37.5974224,['Севастопольская'],https://www.rabota.ru/vacancy/53826384/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Кладовщик,70000.0,100000.0,от 1 года,любое,"ООО ""ВОИП ТЕЛЕКОМ""",Москва,"Бульвар Рокоссовского, Бульвар Рокоссовского,г Москва, ул Ивантеевская, д 25А",55.8167155,37.7351898,"['Бульвар Рокоссовского,', 'Бульвар Рокоссовского']",https://www.rabota.ru/vacancy/53745289/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Начинающий специалист по недвижимости,150000.0,,без опыта,любое,Самолет Плюс,Москва,"Аэропорт,г Москва, ул Острякова, д 3",55.7993559,37.5270997,['Аэропорт'],https://www.rabota.ru/vacancy/53364752/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Грузчик на склад,80000.0,100000.0,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ГОЛУБКОВ АЛЕКСЕЙ ВЯЧЕСЛАВОВИЧ,Москва,"Саларьево,г Москва, р-н Коммунарка, деревня Саларьево, ул Картмазовская, д 51",55.6201524,37.4265155,['Саларьево'],https://www.rabota.ru/vacancy/52880595/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Разнорабочий,,,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СОЛОВЬЕВ СЕМЕН ЮРЬЕВИЧ,Москва,"Селигерская,г Москва",55.625578,37.6063916,['Селигерская'],https://www.rabota.ru/vacancy/52386828/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Уборщик/ца-посудомойщик/ца,80000.0,,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БОРИСОВА ТАТЬЯНА ОЛЕГОВНА,Москва,"Университет,г Москва, ул Строителей, д 8 к 1",55.5327108,37.4528047,['Университет'],https://www.rabota.ru/vacancy/52379853/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Уборщик/ца,65000.0,,без опыта,любое,"ООО ""МОПТАЙМ""",Москва,"Народное ополчение,г Москва, ул Народного Ополчения, д 13",55.7729915,37.4727132,['Народное ополчение'],https://www.rabota.ru/vacancy/52358034/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Продавец-консультант,100000.0,,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КРАВЦОВ ИЛЬЯ ДМИТРИЕВИЧ,Москва,"Аэропорт,г Москва, Ленинградский пр-кт, д 47",55.7997382,37.5307598,['Аэропорт'],https://www.rabota.ru/vacancy/52356982/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Помощник руководителя,60000.0,100000.0,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ХАЧАТРЯН МАРТИРОС МУШЕГОВИЧ,Москва,"Бабушкинская,г Москва, Староватутинский проезд",55.8739154,37.6728144,['Бабушкинская'],https://www.rabota.ru/vacancy/52265477/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Преподаватель олимпиадной математики в онлайн-школу,120000.0,180000.0,от 1 года,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ОВЧИННИКОВ МИХАИЛ ВЛАДИМИРОВИЧ,Москва,"г Москва, г Зеленоград, ул Юности, д 8",55.9989598,37.2238041,,https://www.rabota.ru/vacancy/52265169/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Администратор в барбершоп,60000.0,80000.0,без опыта,любое,Индивидуальный предприниматель КОЗЛОВ АРТЕМ АЛЕКСАНДРОВИЧ,Москва,"Митино,г Москва, ул Митинская, д 44",55.8486168,37.3573436,['Митино'],https://www.rabota.ru/vacancy/51555051/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Менеджер по работе с клиентами,90000.0,120000.0,без опыта,высшее,"ООО ""СК БЕЛАЯ ВОЛНА""",Москва,"Окружная,г Москва, ул Гостиничная, д 3",55.842532,37.5795529,['Окружная'],https://www.rabota.ru/vacancy/50610549/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Грузчик-комплектовщик (вахта),135000.0,180000.0,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЗАПАССКАЯ АННА СЕРГЕЕВНА,Москва,"Площадь Революции,г Москва",55.625578,37.6063916,['Площадь Революции'],https://www.rabota.ru/vacancy/50590435/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Продавец-кассир,100000.0,120000.0,от 1 года,любое,Индивидуальный предприниматель ЧЕЛНОКОВА НАТАЛЬЯ ВЯЧЕСЛАВОВНА,Москва,"Матвеевская,г Москва, ул Матвеевская, д 2",55.7055788,37.4794533,['Матвеевская'],https://www.rabota.ru/vacancy/50558272/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Сиделка-ассистент по уходу за подопечным,70000.0,117000.0,без опыта,любое,"ООО ""ТМС""",Москва,"Крылатское,г Москва, ул Крылатские Холмы",55.7464504,37.4229768,['Крылатское'],https://www.rabota.ru/vacancy/50490599/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Менеджер в магазин профессиональной косметики,70000.0,,от 1 года,любое,"ООО ""МАКСШАРМ""",Москва,"Авиамоторная, Авиамоторная , Авиамоторная,г Москва, 2-й Кабельный проезд, д 2А",55.7460997,37.7167221,"['Авиамоторная,', 'Авиамоторная ,', 'Авиамоторная']",https://www.rabota.ru/vacancy/50473234/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Бариста,65000.0,,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СОКОЛОВ ИВАН ВИКТОРОВИЧ,Москва,"г Москва, ул Дубравная, д 51 стр 1",55.8392864,37.3529925,,https://www.rabota.ru/vacancy/50473204/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Электромонтер,90000.0,160000.0,без опыта,любое,Индивидуальный предприниматель БИРЮКОВА МАРИНА ВЛАДИМИРОВНА,Москва,"Нахимовский проспект,г Москва, ул Азовская, д 6 к 3",55.6599724,37.5991122,['Нахимовский проспект'],https://www.rabota.ru/vacancy/50445237/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Секретарь-референт/помощник руководителя,60000.0,,без опыта,высшее,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КИЛЬБУРГ ВЛАДИМИР РУДОЛЬФОВИЧ,Москва,г Москва,55.625578,37.6063916,,https://www.rabota.ru/vacancy/50420695/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Клинер / Уборщик/ца,70000.0,100000.0,без опыта,любое,ООО Клининговая Компания Настенька,Москва,"ВДНХ, Улица Академика Королева,г Москва, ул 2-я Останкинская, д 1 стр 2",55.8259114,37.6250209,"['ВДНХ,', 'Улица Академика Королева']",https://www.rabota.ru/vacancy/50322719/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Электрик,45000.0,,от 10 лет,любое,"ТСЖ ""ПАНДЖШЕР 17""",Москва,"Чертановская,г Москва, Сумской проезд, д 8 к 3",55.6347954,37.610043,['Чертановская'],https://www.rabota.ru/vacancy/50322057/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Монтажник вентиляции,60000.0,190000.0,без опыта,любое,ООО УК КСР,Москва,"Каховская,г Москва, ул Одесская, д 16",55.6562998,37.5902216,['Каховская'],https://www.rabota.ru/vacancy/50293730/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
